Index,MotorA Measured,MotorA Set
1,92,93
2,94,93
3,94,93
4,96,93
5,94,93
6,94,93
7,92,93
8,94,93
9,94,93
10,94,93
11,94,93
12,92,93
13,92,93
14,92,93
15,94,93
16,94,93
17,92,93
18,92,93
19,92,93
20,92,93
21,92,93
22,96,93
23,92,93
24,92,93
25,94,93
26,92,93
27,94,93
28,100,100
29,104,100
30,102,100
31,100,100
32,100,100
33,100,100
34,100,100
35,102,100
36,100,100
37,100,50
38,94,50
39,48,50
40,40,50
41,42,50
42,48,50
43,52,50
44,50,50
45,48,100
46,48,100
47,116,100
48,120,100
49,108,100
50,98,100
51,98,100
52,98,50
53,62,50
54,52,50
55,48,50
56,48,50
57,48,50
58,48,50
59,50,50
60,52,100
61,70,100
62,94,100
63,104,100
64,108,100
65,104,100
66,100,100
67,96,100
68,98,100
69,100,100
70,102,100
71,102,100
72,102,100
73,40,100
74,92,100
75,128,100
76,136,100
77,102,100
78,92,100
79,94,100
80,92,100
81,104,100
82,106,100
83,108,93
84,96,93
85,90,93
86,90,100
87,102,100
88,106,100
89,104,93
90,66,0
91,12,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
